CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100),Tenure,Purchase Frequency,Average Transaction Value,Product Category Preference,Online Activity
1,27,0,29,86,4,24,88,0,100
2,29,0,25,85,2,23,112,0,71
3,18,0,24,70,2,20,29,0,100
4,24,0,31,66,1,26,42,0,94
5,22,0,27,74,4,25,47,0,98
6,19,0,32,60,1,26,137,0,92
7,24,0,27,65,1,23,153,0,93
8,18,0,33,76,1,28,152,0,99
9,21,0,27,83,3,23,91,0,79
10,19,0,38,94,2,30,118,0,84
11,27,0,45,80,4,12,141,0,91
12,24,0,31,60,2,27,174,0,85
13,21,0,25,89,2,22,126,0,91
14,30,0,23,77,2,18,115,0,93
15,25,0,28,66,2,23,60,0,88
16,27,0,49,82,2,25,10,0,90
17,25,0,55,78,2,25,42,0,100
18,29,0,38,71,3,18,129,0,100
19,20,0,24,81,1,17,103,0,79
20,27,0,21,95,1,23,141,0,78
21,26,0,43,64,2,26,139,0,78
22,18,0,35,83,2,27,66,0,92
23,26,0,23,99,2,19,133,0,80
24,29,0,42,72,3,27,141,0,100
25,24,0,22,71,1,25,117,0,93
26,29,0,30,95,2,30,131,0,81
27,20,0,35,78,3,27,96,0,82
28,18,0,26,89,2,19,109,0,94
29,21,0,32,81,1,27,128,0,100
30,30,0,16,71,3,28,126,0,100
31,28,0,41,90,3,23,138,0,82
32,24,0,25,81,4,16,134,0,74
33,23,0,41,81,1,21,134,0,83
34,26,0,30,73,4,28,10,0,92
35,22,0,39,72,2,28,143,0,78
36,23,0,25,73,4,27,37,0,99
37,36,0,40,65,2,30,65,0,94
38,29,0,21,79,1,20,87,0,78
39,33,0,16,76,2,30,28,0,100
40,25,0,20,85,2,22,103,0,86
41,26,0,37,96,1,30,10,0,88
42,28,0,33,74,2,23,71,0,98
43,27,0,23,89,2,29,131,0,82
44,22,0,37,86,2,26,164,0,84
45,28,0,28,78,3,29,141,0,100
46,25,0,37,77,2,24,105,0,96
47,21,0,51,70,1,30,140,0,96
48,28,0,30,71,2,22,149,0,89
49,21,0,27,84,1,21,112,0,92
50,22,0,25,82,1,18,64,0,88
51,27,0,45,89,2,25,50,0,90
52,24,0,33,72,3,30,95,0,94
53,28,0,26,82,2,25,61,0,90
54,27,0,45,90,4,21,144,0,92
55,36,0,22,72,1,14,74,0,82
56,26,0,33,99,3,22,55,0,95
57,18,0,48,92,2,16,168,0,89
58,31,0,15,74,2,25,77,0,96
59,20,0,29,81,3,29,44,0,75
60,31,0,33,73,4,26,159,0,91
61,35,0,48,78,3,28,168,0,80
62,28,0,41,62,1,15,87,0,97
63,33,0,31,96,1,16,97,0,94
64,25,0,15,79,1,28,118,0,81
65,22,0,19,79,3,20,125,0,85
66,21,0,29,70,1,19,198,0,90
67,22,0,32,79,2,28,138,0,85
68,22,0,27,57,1,30,182,0,88
69,28,0,33,100,3,24,52,0,74
70,26,0,22,66,1,20,184,0,99
71,25,0,45,81,1,30,127,0,80
72,24,0,21,66,3,30,30,0,96
73,22,0,25,74,1,25,58,0,93
74,25,0,28,71,1,29,125,0,80
75,25,0,38,63,3,22,129,0,82
76,18,0,15,80,2,20,132,0,73
77,25,0,18,73,2,21,81,0,100
78,22,0,38,69,3,30,10,0,82
79,28,0,28,84,1,25,92,0,100
80,26,0,33,76,2,23,120,0,86
81,26,0,51,89,2,30,80,0,70
82,20,0,15,76,2,30,116,0,88
83,29,0,15,82,3,18,157,0,93
84,23,0,36,100,2,26,77,0,82
85,29,0,21,81,2,27,117,0,100
86,22,0,27,70,2,27,138,0,81
87,29,0,44,84,4,21,38,0,72
88,32,0,37,79,2,19,222,0,91
89,26,0,37,85,2,21,124,0,100
90,32,0,46,75,1,24,103,0,100
91,18,0,45,78,2,20,17,0,98
92,25,0,17,67,2,30,87,0,75
93,24,0,27,53,2,24,135,0,100
94,31,0,27,69,5,25,101,0,90
95,26,0,29,74,1,25,73,0,83
96,26,0,27,95,1,30,162,0,69
97,23,0,26,66,1,19,188,0,99
98,31,0,37,69,1,27,39,0,97
99,24,0,26,87,2,23,158,0,79
100,28,0,36,77,2,19,146,0,88
101,22,0,40,73,1,17,130,0,77
102,34,0,15,97,2,25,73,0,94
103,25,0,41,81,2,23,97,0,93
104,18,0,17,87,2,24,101,0,93
105,22,0,22,82,1,27,15,0,100
106,27,0,33,90,4,30,10,0,77
107,22,0,30,85,1,26,62,0,84
108,18,0,21,66,1,30,53,0,100
109,27,0,32,71,3,22,106,0,100
110,25,0,41,73,2,30,69,0,100
111,29,0,24,86,3,28,21,0,83
112,24,0,29,86,2,18,119,0,96
113,28,0,41,88,2,25,17,0,94
114,26,0,33,67,1,30,98,0,97
115,25,0,30,89,1,25,77,0,86
116,23,0,32,75,3,21,91,0,86
117,32,0,32,90,1,26,144,0,91
118,30,0,25,94,4,23,78,0,100
119,33,0,25,76,2,18,54,0,80
120,21,0,30,82,4,20,149,0,88
121,25,0,37,69,2,26,125,0,93
122,37,0,24,75,1,22,68,0,100
123,32,0,24,72,2,22,132,0,92
124,18,0,45,98,1,23,114,0,93
125,28,0,50,78,1,18,63,0,90
126,44,1,45,52,5,21,326,1,45
127,33,1,60,57,7,18,182,1,56
128,41,1,58,55,6,21,269,1,56
129,34,1,51,62,4,17,180,1,50
130,41,1,52,50,4,19,232,1,72
131,33,1,52,52,7,15,214,1,56
132,36,1,46,52,6,10,207,1,43
133,41,1,35,44,5,23,197,1,44
134,44,1,36,28,5,12,149,1,57
135,36,1,44,37,6,18,195,1,68
136,30,1,35,43,5,16,188,1,54
137,29,1,64,49,6,17,223,1,56
138,37,1,56,63,5,19,196,1,64
139,32,1,68,50,4,16,166,1,58
140,32,1,46,31,5,3,121,1,58
141,39,1,54,40,5,15,142,1,65
142,39,1,48,50,5,5,188,1,43
143,30,1,47,68,6,12,229,1,64
144,40,1,51,44,6,17,245,1,56
145,40,1,45,63,5,25,166,1,67
146,36,1,43,45,5,17,226,1,44
147,35,1,71,67,5,15,206,1,56
148,30,1,47,33,5,18,176,1,66
149,29,1,35,52,6,23,177,1,61
150,35,1,48,59,6,7,274,1,64
151,32,1,54,55,5,12,166,1,50
152,41,1,55,46,6,1,257,1,33
153,33,1,39,37,6,13,217,1,50
154,37,1,51,37,6,13,122,1,46
155,43,1,59,47,5,13,304,1,54
156,37,1,60,52,5,14,196,1,50
157,39,1,51,57,5,15,100,1,59
158,37,1,60,21,7,14,255,1,40
159,38,1,39,44,7,14,211,1,59
160,37,1,52,54,7,15,210,1,61
161,41,1,62,56,4,23,143,1,53
162,31,1,49,53,5,17,281,1,55
163,34,1,60,62,4,18,235,1,47
164,42,1,48,51,5,15,145,1,36
165,43,1,42,40,3,12,134,1,66
